1,"2016-07-06",9,"2","15",100.0,29.6062581428571,1576.57142857143,-36.4552836428571
1,"2016-07-06",10,"2","15",100.0,37.08049604,3264.31111111111,90.7196700455555
1,"2016-07-06",11,"2","15",100.0,32.7221498395349,2374.20930232558,15.4224445023256
1,"2016-07-06",12,"2","15",100.0,41.02314363,2319.3,136.085929498
1,"2016-07-06",13,"2","15",100.0,31.0056032354167,2598.10416666667,94.4612715208333
1,"2016-07-06",14,"2","15",100.0,34.65766319375,3332.64583333333,202.990364747917
1,"2016-07-06",15,"2","15",100.0,38.6734032755102,1694.51020408163,33.3732014740816
1,"2016-07-06",16,"2","15",100.0,17.9646748953488,3863.51162790698,198.387535943243
1,"2016-07-06",17,"2","15",100.0,24.4860472236842,5065.13157894737,107.586324568421
1,"2016-07-06",18,"2","15",100.0,34.6828683733333,3146.24444444444,172.34869789
1,"2016-07-06",19,"2","15",100.0,40.3004291263158,1933.21052631579,83.1923050333333
1,"2016-07-06",20,"2","15",100.0,31.6693194047619,4255.71428571429,274.808659
1,"2016-07-06",21,"2","15",100.0,33.7871727423077,4072.96153846154,59.4796331052632
1,"2016-07-06",22,"2","15",100.0,38.1045834545454,4640.90909090909,8.7162794
1,"2016-07-06",23,"2","15",100.0,43.5624511176471,2297.82352941176,182.282700222222
1,"2016-07-07",0,"2","15",100.0,17.95496764,6971.0,0
1,"2016-07-07",1,"2","15",100.0,5.866957,7802.0,0
1,"2016-07-07",2,"2","15",100.0,20.3122424,6064.6,0
1,"2016-07-07",3,"2","15",100.0,46.8459036666667,1173.66666666667,31.864905
1,"2016-07-07",4,"2","15",100.0,64.2616902758621,849.068965517241,27.4290930052632
1,"2016-07-07",5,"2","15",100.0,53.5432381925926,2002.7037037037,285.97380044
1,"2016-07-07",6,"2","15",100.0,56.5814621428572,1144.14285714286,15.7331759797917
1,"2016-07-07",7,"2","15",100.0,43.670657627907,1236.79069767442,-0.60372563263158
1,"2016-07-07",8,"2","15",100.0,47.5443439090909,1226.88636363636,31.3141932795455
1,"2016-07-07",9,"2","15",100.0,34.516731993617,2333.02127659574,54.8059556265958
1,"2016-07-07",10,"2","15",100.0,45.1008811276596,1227.51063829787,18.6244540951064
1,"2016-07-07",11,"2","15",100.0,55.0584484130435,1028.19565217391,21.7764365086957
1,"2016-07-07",12,"2","15",100.0,55.8328622,833.375,0.4081317725
1,"2016-07-07",13,"2","15",100.0,49.4866681,1185.8,28.1494742988889
1,"2016-07-07",14,"2","15",100.0,49.6137605568182,1287.29545454545,20.9062345465909
1,"2016-07-07",15,"2","15",100.0,45.8816937608696,1187.89130434783,26.7309912391304
1,"2016-07-07",16,"2","15",100.0,49.4558803409091,1479.65909090909,74.2408046504545
1,"2016-07-07",17,"2","15",100.0,38.6359223914894,2464.87234042553,77.0957843
1,"2016-07-07",18,"2","15",100.0,20.7834328977273,3822.70454545455,44.6107372125
1,"2016-07-07",19,"2","15",100.0,28.6118291352941,3143.92156862745,65.4738550058823
1,"2016-07-07",20,"2","15",100.0,34.8541916,2199.91666666667,52.1154307659575
1,"2016-07-07",21,"2","15",100.0,34.5158261219512,4045.09756097561,363.353078644737
1,"2016-07-07",22,"2","15",100.0,34.7472771333333,2625.63333333333,41.1636051
1,"2016-07-07",23,"2","15",100.0,20.27653955,2816.3,118.934817222222
1,"2016-07-08",0,"2","15",100.0,29.4265850363636,5673.54545454545,-55.252385
1,"2016-07-08",1,"2","15",100.0,16.1784509777778,5986.22222222222,-87.983304
1,"2016-07-08",2,"2","15",100.0,40.48148525,1315.375,-34.31050325
1,"2016-07-08",3,"2","15",100.0,52.2819674666667,1026.33333333333,73.078056375
1,"2016-07-08",4,"2","15",100.0,50.9514117647059,1485.64705882353,46.8732297586207
1,"2016-07-08",5,"2","15",100.0,45.5075089534884,1114.74418604651,18.3305643097561
1,"2016-07-08",6,"2","15",100.0,59.24957634,802.28,0.590477588000001
1,"2016-07-08",7,"2","15",100.0,48.8808962745098,1023.96078431373,7.26963063313726
1,"2016-07-08",8,"2","15",100.0,37.6377538679245,1247.05660377358,-1.9196932790566
1,"2016-07-08",9,"2","15",100.0,46.2361961296296,1099.81481481481,16.5325100528302
1,"2016-07-08",10,"2","15",100.0,44.6277411571429,1404.22448979592,19.1620729469388
1,"2016-07-08",11,"2","15",100.0,43.2228489933333,1524.0,45.0265901088889
1,"2016-07-08",12,"2","15",100.0,43.6648524666667,1381.35416666667,32.377743625
1,"2016-07-08",13,"2","15",100.0,48.2709737195122,1266.90243902439,20.71142981
1,"2016-07-08",14,"2","15",100.0,30.9394291244898,2628.83673469388,93.5789267346939
1,"2016-07-08",15,"2","15",100.0,28.1708826886364,3912.11363636364,71.4028216713636
1,"2016-07-08",16,"2","15",100.0,38.2086309555555,2290.08888888889,39.4267337152381
1,"2016-07-08",17,"2","15",100.0,33.2736418215686,2691.03921568627,59.792381772
1,"2016-07-08",18,"2","15",100.0,47.5817801777778,1333.66666666667,18.7815283772727
1,"2016-07-08",19,"2","15",100.0,41.0751242479167,2239.10416666667,68.618345135
1,"2016-07-08",20,"2","15",100.0,23.15360854375,3018.625,56.7569950625
1,"2016-07-08",21,"2","15",100.0,28.2742241304348,3175.65217391304,81.6716747044444
1,"2016-07-08",22,"2","15",100.0,30.6969483157895,3595.94736842105,187.361796492857
1,"2016-07-08",23,"2","15",100.0,11.1555715,4325.5,0
1,"2016-07-09",0,"2","15",100.0,67.613,677.0,0
1,"2016-07-09",1,"2","15",100.0,39.132365125,3745.375,-93.551445
